"x","y","mmi","mmi_class"
463129.467083033,2139284.74941789,61.58,"Good"
65523.3469189906,2212122.78135822,38.23,"Fair"
377862.45478456,2141795.2517732,1.05,"Poor"
363321.018334508,2209411.39270206,47.03,"Good"
132608.569929696,2065882.91933201,21.2,"Poor"
256706.805590299,2057533.00675069,43.07,"Good"
340989.076125911,2235501.97094209,35.4,"Fair"
7517.96269856547,2051342.28605028,16.98,"Poor"
177630.010463506,2025420.62592841,28.92,"Fair"
288330.596919455,2039809.50418748,67.75,"Good"
157701.492530509,2214651.78109183,2.08,"Poor"
340281.454114463,1976686.48508725,49.2,"Good"
383898.755024542,2189478.62290989,28.13,"Fair"
170264.804196167,1965859.88174768,52.78,"Good"
404632.926115686,2121683.7390301,53.48,"Good"
306632.775617974,2284416.54052824,47.88,"Good"
64372.3159933018,2041632.09436071,17.83,"Poor"
358020.187545231,2075144.1760573,39.23,"Fair"
-1607.16395970426,2160772.13489933,18.53,"Poor"
-1523047.31446092,2813405.05929672,71.73,"Good"
-1568710.52527659,2621006.28105001,44.32,"Fair"
-1319180.77136179,2326224.64006752,33.47,"Poor"
-1570214.02896214,2271053.80145337,77.47,"Good"
-1442907.24421052,2588784.83804304,57.27,"Good"
-1504877.82446479,2262525.59682692,53.08,"Fair"
-1551725.96550232,2646067.58142988,66.27,"Good"
-1430112.32829216,2308312.58451279,11.92,"Poor"
-1533887.40978671,2733505.65067998,84.28,"Good"
-1580251.68913792,2332277.12975269,65.1,"Good"
-1423470.1131623,2624221.47420148,50.47,"Good"
-1568408.31581188,2917960.07195031,0,"Poor"
-1602174.69377566,2501074.35462807,44.18,"Fair"
-1473104.87295462,2573888.29608681,54.33,"Good"
-1490636.23138442,2784473.72920381,38.58,"Fair"
-1486067.49331922,2273847.83725514,53.77,"Fair"
-1518559.53102566,2645189.00919189,49.02,"Fair"
-1580892.87962924,2545826.35837618,18.57,"Poor"
-1511029.31623262,2333724.46829958,12.82,"Poor"
-1390750.6096916,2591177.8419991,35.05,"Poor"
-1294362.92970047,2271109.36240575,57.58,"Good"
-1562234.89566617,2451475.2684344,63.42,"Good"
-1439310.84570706,2520125.65594919,68.58,"Good"
-1572603.65831825,2659693.59541179,54.93,"Good"
-1621543.12731277,2366975.97763023,63.32,"Good"
-1526943.24196922,2621564.46259702,55.33,"Good"
-1523842.37105969,2345063.9007635,29.58,"Poor"
-1412947.32945801,2625238.10247877,55,"Good"
-1397973.01975321,2559792.41670675,38.78,"Fair"
-1453491.67441896,2396584.68991579,37.33,"Poor"
-1546315.87729694,2517306.84941721,54.25,"Good"
-1529970.24989317,3033469.54480286,64.85,"Good"
-1531852.03254342,2700013.04449578,48.53,"Fair"
-1452695.30547639,2590784.07675552,74.13,"Good"
567167.435033155,1778165.10076153,21.92,"Poor"
465117.958382231,1864010.85993216,22.3,"Poor"
508534.970509731,1968017.73473642,38.7,"Fair"
393899.744494071,1938654.20152739,34.65,"Fair"
595830.31373764,1631006.13269109,14.58,"Poor"
622128.30288568,1881690.55841764,53.2,"Good"
694118.208359535,2032113.8369598,4.45,"Poor"
462357.564425199,1811452.13407949,26.22,"Fair"
585503.359347884,1842081.5066318,22.58,"Poor"
509430.759739842,2069875.62012981,62.1,"Good"
593402.402061532,1571809.22313968,38.12,"Poor"
389295.84371643,1949873.27364414,31.95,"Fair"
490246.337854286,1990043.64078437,74.55,"Good"
672452.793590961,2044630.45265541,75.15,"Good"
558718.160097443,1855674.23713551,39.83,"Fair"
596532.906533438,1821059.13070072,44.4,"Good"
536545.310069326,2118134.06681147,58.65,"Good"
677840.794174915,1842251.53642946,20.32,"Poor"
592861.292098659,1667529.12809738,43.85,"Good"
457664.432364059,1793798.18679522,8.75,"Poor"
